location,location_count,bahagia,jijik,lainnya,marah,sedih,takut,terkejut
ACEH,111.0,2.0,6.0,99.0,1.0,1.0,1.0,1.0
BALI,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
BANTEN,96.0,4.0,6.0,84.0,0.0,0.0,1.0,1.0
BENGKULU,101.0,3.0,3.0,89.0,4.0,2.0,0.0,0.0
GORONTALO,95.0,2.0,7.0,85.0,0.0,0.0,0.0,1.0
JAKARTA,1969.0,134.0,175.0,1551.0,74.0,7.0,10.0,18.0
JAMBI,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
KEPULAUAN BANGKA BELITUNG,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
KEPULAUAN RIAU,1969.0,92.0,45.0,1754.0,43.0,17.0,0.0,18.0
LAMPUNG,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
PAPUA,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
RIAU,31.0,4.0,1.0,26.0,0.0,0.0,0.0,0.0
SULAWESI BARAT,180.0,8.0,7.0,154.0,9.0,2.0,0.0,0.0
SULAWESI SELATAN,141.0,6.0,2.0,130.0,2.0,1.0,0.0,0.0
SULAWESI TENGAH,395.0,18.0,27.0,332.0,7.0,5.0,1.0,5.0
SULAWESI TENGGARA,136.0,8.0,5.0,122.0,1.0,0.0,0.0,0.0
SULAWESI UTARA,167.0,6.0,4.0,152.0,4.0,0.0,0.0,1.0
SUMATERA BARAT,109.0,3.0,3.0,94.0,6.0,3.0,0.0,0.0
SUMATERA SELATAN,84.0,5.0,1.0,77.0,0.0,1.0,0.0,0.0
SUMATERA UTARA,188.0,8.0,3.0,172.0,4.0,0.0,0.0,1.0
YOGYAKARTA,2035.0,83.0,69.0,1803.0,40.0,8.0,10.0,22.0
